Subject ID,Subject Number,Condition,Control,Distorted,Knowledge
02uykszqnk,1,Brush,southwestern Germany,Can't say,Noah
0adycjx0yh,2,Brush,Germany,2,Noah
11oycgex67,3,Arial,Don't know,"2 of most kinds, 7 of some",Noah
1eyvnxjgov,4,Arial,Switzerland,2,Noah
1xat64ekaz,5,Arial,Switzerland,2,Noah
2o0a0lzqre,6,Arial,Sweden,2,Noah
2ws5s2l1zx,7,Brush,Holland,Can't say,Noah
3s7acbfj6h,8,Arial,Switzerland,Don't know,Noah
443pdwytqw,9,Arial,Germany,2,Noah
5vxye8j6ya,10,Arial,Switzerland,2,Noah
63c9h6ua70,11,Brush,Germany,2,Noah
9dqmrdwjqt,12,Brush,Switzerland,2,Noah
s4vf7ug8so,13,Arial,England,2,Noah
b04hyzo1nf,14,Brush,Switzerland,2,Noah
g083fb5k0n,15,Arial,Germany,2,Noah
cqsmuqlnku,16,Arial,Germany,2,Don't Know
amlhqar7wq,17,Brush,Switzerland,2,Noah
lm3nf547kv,18,Arial,Denmark,2,Noah
sfseoq5zf7,19,Arial,Switzerland,2,Noah
x1fz0cbsp8,20,Brush,I don't Know,2,Noah
fbjk6o1k3r,21,Arial,Switzerland,2,Noah
obmm1pl7du,22,Brush,Germany,2,Noah
a8gtdthr60,23,Arial,Germany,2,Noah
rsyjpb2076,24,Brush,Switzerland,Moses was never on the ark it was Noah,Noah
bhf92drhb0,25,Arial,Don't know,2,Noah
c0033tcugt,26,Arial,Switzerland,2,Noah
jdbryhex4x,27,Arial,Germany,2,Noah
nvegljlm98,28,Brush,Switzerland,Moses didn't build an ark,Noah
pvzgb19hfg,29,Arial,Switzerland,2,Noah
r150dncekr,30,Arial,Switzerland,2,Noah
rr36mnqle1,31,Arial,Germany,2,Noah. My answer about the animals was wrong because Moses didn't take any animals on the Ark.
t0h975n029,32,Arial,Switzerland,Can't say,Noah
tnp0e88q71,33,Brush,Switzerland,2,Noah
ua4o4uu115,34,Brush,Don't know,Moses did not take animals to the ark,Noah
vr7uh5yd49,35,Brush,Switzerland,7 pairs,Noah
yea5m4wvmx,36,Brush,Switzerland,2,Noah
zxzb5ty4vx,37,Arial,Germany,2,Noah
h4k415bv8n,38,Brush,Germany,2,Noah
a1zlsnq9or,39,Brush,England,2,Noah
t0a689kmx1,40,Brush,Switzerland,2,Noah
nsepfjmj0n,41,Arial,Switzerland,2,Noah
nwdmdcbng0,42,Brush,Switzerland,None,Noah
cl0p4nmhyb,43,Brush,Switzerland,2,Noah
ca6etjy2lj,44,Brush,Sweden,2,Noah
stxb77xvy6,45,Brush,Switzerland,2,Noah
srd0cfc8rw,46,Arial,Don't know,2,Noah
augew32nr7,47,Brush,Don't know,2,Noah
qonjjo5wcw,48,Brush,Switzerland,2,Noah
uc80v25u7h,49,Brush,Switzerland,2,Noah
xnqf81s6wf,50,Brush,Switzerland,Can't say,Noah
el0pww72e3,51,Arial,Switzerland,2,Noah
to4lvc547e,52,Arial,Switzerland,2,Noah